40.6;16.69
27.08;34.09
-9.27;27.19
33.5;20.81
15.26;3.4
5.87;37.95
33.39;7.88
-6.38;10.96
-2.7;11.96
34.54;22.32
25.49;10.37
7.03;19.96
-2.32;38.98
16.66;19.4
32.38;30.46
40.45;0.8
24.36;9.64
-5.34;19.83
45.76;4.76
-1.6;0.35
28.6;36.45
0.0;24.8
0.0;18.92
22.52;11.93
0.0;1.46
44.49;22.76
43.45;34.14
30.69;10.17
0.0;30.24
0.0;29.94
38.63;16.72
40.95;31.02
0.0;9.8
38.36;16.88
0.0;2.36
-7.72;25.13
0.0;20.47
-5.75;7.35
0.0;28.11
25.49;17.62
0.0;37.41
29.91;37.89
33.75;23.1
19.63;25.52
33.43;32.43
-3.35;31.75
0.0;20.12
-2.84;26.29
37.24;38.19
43.8;28.11
31.98;1.77
32.29;30.11
-7.58;34.09
16.49;3.82
0.0;3.24
24.67;35.15
9.94;9.25
-6.48;11.54
23.46;22.49
41.4;10.68
-3.26;3.63
-7.84;12.08
30.97;13.34
0.0;15.58
19.28;11.24
34.19;8.58
0.0;32.35
42.07;30.83
-1.25;2.3
-3.41;7.31
0.0;6.6
0.0;23.13
-8.67;11.48
-3.77;27.92
24.45;38.59
0.0;28.73
0.0;23.65
0.0;17.23
15.06;39.23
16.76;22.48
0.0;15.41
17.92;28.33
25.11;26.67
18.48;20.11
26.57;11.3
14.73;24.83
25.22;32.46
32.05;2.19
0.0;34.73
4.57;34.5
38.88;15.02
0.0;8.61
-3.03;39.89
0.0;36.79
30.82;1.87
31.88;1.41
-8.32;27.93
0.0;4.68
0.0;28.33
-6.43;18.86
-8.38;26.44
-6.24;24.29
0.0;1.04
0.0;25.45
-1.15;26.59
-6.55;9.41
-3.04;2.12
-7.21;23.32
-1.57;23.43
49.68;3.12
-6.95;27.01
28.61;29.58
24.2;16.15
-3.94;15.73
24.38;38.66
34.6;7.55
-5.7;36.17
26.4;35.05
34.76;35.75
14.38;12.7
13.42;39.51
-9.07;29.13
31.75;32.79
0.0;38.85
-2.12;1.17
15.18;20.6
5.85;4.45
-3.1;32.9
24.78;7.08
0.0;22.52
22.91;18.8
4.85;38.29
-8.35;28.11
43.03;22.51
0.0;25.87
-2.91;26.15
22.48;35.15
0.0;23.49
-5.44;32.01
16.09;8.41
20.09;12.89
-2.74;31.69
0.0;6.15
28.15;34.04
38.56;14.7
0.0;20.25
-7.09;39.69
30.62;2.31
0.28;10.25
22.63;16.91
0.0;21.18
37.8;14.57
0.0;11.89
23.33;25.49
27.4;28.93
0.0;38.29
36.15;7.9
0.0;33.94
15.85;34.64
17.3;0.71
-7.63;31.67
18.19;20.96
39.76;5.1
43.47;2.19
28.24;30.97
31.36;8.98
46.12;24.06
0.0;37.58
33.68;11.49
0.0;2.33
14.49;35.3
31.68;31.59
18.94;36.42
23.39;21.54
26.78;37.22
-1.6;33.17
-2.32;21.41
16.44;4.49
43.11;30.85
0.0;30.97
24.19;12.97
23.49;6.73
32.45;38.9
6.85;3.71
21.45;15.82
0.0;16.54
0.0;13.59
0.0;1.05
16.41;22.64
-6.32;12.93
0.0;28.45
18.65;11.41
-9.11;32.02
0.0;33.73
29.66;13.61
0.0;0.97
14.06;4.56
31.45;7.0
-5.82;26.73
28.16;8.96
-9.31;0.23
19.88;4.47
21.9;6.11
19.14;19.71
0.0;1.05
-4.26;17.56
-4.62;0.36
8.12;9.59
-5.98;4.82
-9.8;21.35
0.0;30.51
0.0;25.75
35.97;36.97
25.18;25.6
36.24;22.58
14.74;3.04
-4.26;5.63
0.0;9.71
19.59;22.62
29.49;39.35
42.55;25.23
-2.68;34.82
0.0;32.11
-1.09;33.74
0.0;5.28
36.64;4.51
9.16;13.42
29.98;23.25
